percReDelegation	M2MShare_1_hop	M2MShare_2_hop	M2MShare_3_hop
10%	159.81331944444443	146.12829166666666	139.46091666666666
25%	159.81331944444443	143.86726851851853	134.96466203703704
50%	159.81331944444443	140.64485185185185	123.05762037037037
75%	159.81331944444443	133.6491851851852	118.50757407407407
100%	159.81331944444443	132.4472638888889	116.5844537037037
