Time	M2MShare_1_hop_10	M2MShare_2_hop_10	M2MShare_3_hop_10	M2MShare_1_hop_25	M2MShare_2_hop_25	M2MShare_3_hop_25	M2MShare_1_hop_50	M2MShare_2_hop_50	M2MShare_3_hop_50	M2MShare_1_hop_75	M2MShare_2_hop_75	M2MShare_3_hop_75	M2MShare_1_hop_100	M2MShare_2_hop_100	M2MShare_3_hop_100
93	17	54	87	17	71	127	17	89	187	17	101	228	17	113	270
94	17	55	89	17	72	132	17	90	194	17	102	236	17	114	281
95	17	56	92	17	73	138	17	92	205	17	105	248	17	117	295
96	17	56	96	17	74	146	17	93	218	17	105	265	17	118	315
97	16	57	100	16	75	154	16	94	230	16	106	279	16	118	333
98	16	57	104	16	75	160	16	94	240	16	106	291	16	119	347
99	16	57	107	16	75	165	16	94	248	16	106	299	16	118	357
100	16	57	110	16	75	169	16	94	253	16	106	305	16	118	364
101	16	57	113	16	75	173	16	94	258	16	106	310	16	118	370
102	16	58	115	16	76	177	16	94	263	16	107	318	16	119	379
103	16	59	118	16	77	183	16	94	271	16	108	328	16	120	391
104	17	60	122	17	78	189	17	96	282	17	109	342	17	122	407
105	18	61	127	18	80	198	18	98	294	18	111	357	18	124	425
106	18	62	130	18	81	204	18	100	305	18	112	372	18	125	441
107	18	63	133	18	82	211	18	101	316	18	113	384	18	126	455
108	18	63	134	18	82	214	18	101	321	18	114	391	18	127	463
109	18	64	136	18	82	217	18	102	325	18	114	396	18	127	468
110	18	63	136	18	82	218	18	102	326	18	114	398	18	127	470
111	18	64	136	18	82	219	18	102	327	18	115	399	18	127	471
112	18	64	137	18	82	219	18	102	328	18	115	399	18	127	472
113	18	63	137	18	82	220	18	102	328	18	115	400	18	128	473
114	18	64	137	18	82	220	18	102	329	18	115	400	18	128	474
115	19	64	137	19	82	221	18	102	330	19	115	401	18	128	475
116	19	64	137	19	83	222	19	103	331	19	115	403	19	128	476
117	19	64	138	19	83	223	19	104	335	19	116	407	19	129	481
