Time	No_delegation	M2MShare	Delegation_to_all
0	0.0	0.0	0.0
1	0.0	0.5230263684210527	1.1182433243243244
2	0.0	0.8190790263157895	2.5912163513513513
3	0.0	1.0394738684210527	3.0118244864864865
4	0.0	1.5460527631578946	4.092905378378379
5	0.0	1.6118422105263155	4.248310837837837
6	0.0	1.6118422105263155	4.329391918918919
7	0.0	1.6250000526315789	4.329391918918919
8	0.0	1.786184289473684	4.59966227027027
9	0.0	2.1940792368421045	5.4172300810810805
10	0.0	3.5427631842105263	7.873311054054054
11	0.0	4.832236789473681	10.067567513513513
12	0.0	5.5345388421052615	11.444255945945947
13	0.0	6.041117789473683	12.029560081081085
14	0.0	6.541117684210525	12.944255783783786
15	0.0	6.580591421052632	13.032093702702706
16	0.0	6.6603610263157895	13.187498972972977
17	0.0	6.6603610263157895	13.376688135135138
18	0.0	6.666939999999999	13.410471945945948
19	0.0	6.6702295	13.623309891891896
20	0.0	6.6998346842105265	13.768580081081085
21	0.0	6.962992631578948	13.974661189189192
22	0.0	6.946545263157895	14.107684864864867
23	0.0	7.650492763157895	15.452279783783785
24	0.0	9.160361	18.16849572972973
25	0.0	10.300163184210529	19.844171000000003
26	0.0	10.644735315789477	20.453123459459462
27	0.0	10.967103578947373	20.857683540540542
28	0.0	11.097859973684216	21.60852775675676
29	0.0	11.139800710526321	21.95312232432433
30	0.0	11.705590236842108	23.04096008108109
31	0.0	12.810853421052636	24.935807810810815
32	0.0	15.061675447368426	28.022378216216236
33	0.0	16.885277052631587	31.05151637837848
34	0.0	18.050983973684218	33.67524843243261
35	0.0	18.88568781578948	34.80742735135155
36	0.0	19.587990184210536	35.76012951351375
37	0.0	19.323187473684218	35.61739283783807
38	0.0	19.402134842105273	35.66469013513537
39	0.0	19.323187473684218	35.64779821621645
40	0.0	19.323187473684218	35.657933378378615
41	0.0	19.323187473684218	35.67482532432457
42	0.0	19.329766447368428	35.69509567567593
43	0.0	19.329766447368428	35.71198762162188
44	0.0	19.356082236842113	35.55278159459483
45	0.0	19.537825578947377	36.11148081081108
46	0.0	19.46216781578948	36.09374405405435
47	0.0	18.97697034210527	36.188760297297605
48	0.0	17.877463447368427	34.22296529729753
49	0.0	15.572365315789481	30.206495378378484
50	0.0	13.83840144736843	27.527441243243263
51	0.0	13.400079263157902	25.529974459459478
52	0.0	12.69202023684211	24.5561570810811
53	0.0	12.423105736842109	24.060379972972992
54	0.0	12.353204421052636	24.078538540540563
55	0.0	12.451888500000006	23.99914643243245
56	0.0	11.137332789473687	23.383014729729744
57	0.0	10.361839684210528	22.55320054054056
58	0.0	8.851971947368423	19.40201935135136
59	0.0	8.062498868421052	17.218743270270274
60	0.0	7.141446315789472	16.33107483783784
61	0.0	6.6809199999999995	15.95438567567568
62	0.0	6.601972631578947	15.643574972972973
63	0.0	6.601972631578947	15.519419486486488
64	0.0	6.601972631578947	15.438338405405405
65	0.0	6.601972631578947	15.438338405405405
66	0.0	6.601972631578947	15.34036545945946
67	0.0	6.585525289473684	15.222122297297297
68	0.0	6.56907794736842	15.12414935135135
69	0.0	6.302630710526314	14.394842108108104
70	0.0	5.376643894736837	13.255061891891891
71	0.0	3.252466684210512	9.16426808108108
72	0.0	3.186677263157879	9.177781648648647
73	0.0	3.11430873684209	9.167646486486484
74	0.0	2.834703421052615	8.86528162162162
75	0.0	2.6570719210526152	8.716633054054052
76	0.0	2.660361421052615	8.638930378378376
77	0.0	2.660361421052615	8.65286616216216
78	0.0	2.275492921052616	8.183271459459458
79	0.0	2.0945719210526152	7.940028189189187
80	0.0	2.1167758421052465	7.933271243243243
81	0.0	2.198190289473668	7.956919918918918
82	0.0	2.2310849999999847	8.01519681081081
83	0.0	2.2409533947368265	8.018575135135135
84	0.0	2.2409533947368265	7.97127789189189
85	0.0	2.2409533947368265	7.97127789189189
86	0.0	2.2442428947368267	7.97127789189189
87	0.0	2.2442428947368267	7.97127789189189
88	0.0	2.2442428947368267	7.97127789189189
89	0.0	2.2442428947368267	7.97127789189189
90	0.0	2.2442428947368267	7.97127789189189
91	0.0	2.2442428947368267	7.97127789189189
92	0.0	2.2442428947368267	7.97127789189189
93	0.0	2.165295526315773	7.890196810810807
94	0.0	2.185032368421036	7.843744054054052
95	0.0	2.1233547894736673	7.667223864864861
96	0.0	2.1233547894736673	7.633440135135134
97	0.0	2.1233547894736673	7.552359054054054
98	0.0	2.1233547894736673	7.576007702702702
99	0.0	2.1036179999999836	7.410467216216215
100	0.0	2.1036179999999836	7.329386135135135
101	0.0	2.1036179999999836	7.329386135135135
102	0.0	1.945723263157879	7.165112540540538
103	0.0	1.7878285263157734	7.0557375405405365
104	0.0	1.7878285263157734	6.642308783783779
105	0.0	1.7878285263157734	6.642308783783779
106	0.0	1.81743373684209	6.642308783783779
107	0.0	1.8503283947368259	6.642308783783779
108	0.0	1.9292757631578785	6.782933837837833
109	0.0	1.9292757631578785	6.782933837837833
110	0.0	1.9292757631578785	6.782933837837833
111	0.0	1.9292757631578785	6.782933837837833
112	0.0	1.9292757631578785	6.782933837837833
113	0.0	1.9292757631578785	6.782933837837833
114	0.0	1.9292757631578785	6.782933837837833
115	0.0	1.9292757631578785	6.782933837837833
116	0.0	1.9292757631578785	6.782933837837833
117	0.0	1.8503283947368252	6.673981189189184
118	0.0	1.7713810263157743	6.558271783783779
119	0.0	1.7713810263157743	6.477190702702697
120	0.0	1.692433657894721	5.9636775675675615
121	0.0	1.6134862894736683	5.583610054054048
122	0.0	1.5937494999999837	5.495349864864857
123	0.0	1.5937494999999837	5.414268783783776
124	0.0	1.435854763157878	5.1710255405405325
125	0.0	1.435854763157878	5.011397243243235
126	0.0	0.9621705526315716	3.7141001621621412
127	0.0	0.024670789473681648	1.941718864864833
128	0.0	0.0	0.0
129	0.0	0.0	0.0
130	0.0	0.0	0.0
131	0.0	0.0	0.0
132	0.0	0.0	0.0
133	0.0	0.0	0.0
134	0.0	0.0	0.0
135	0.0	0.0	0.0
136	0.0	0.0	0.0
137	0.0	0.0	0.0
138	0.0	0.0	0.0
139	0.0	0.0	0.0
140	0.0	0.0	0.0
141	0.0	0.0	0.0
142	0.0	0.0	0.0
143	0.0	0.0	0.0
144	0.0	0.0	0.0
145	0.0	0.0	0.0
146	0.0	0.0	0.0
147	0.0	0.0	0.0
148	0.0	0.0	0.0
149	0.0	0.0	0.0
150	0.0	0.0	0.0
151	0.0	0.0	0.0
152	0.0	0.0	0.0
153	0.0	0.0	0.0
154	0.0	0.0	0.0
155	0.0	0.0	0.0
156	0.0	0.0	0.0
157	0.0	0.0	0.0
158	0.0	0.0	0.0
159	0.0	0.0	0.0
160	0.0	0.0	0.0
161	0.0	0.0	0.0
162	0.0	0.0	0.0
163	0.0	0.0	0.0
164	0.0	0.0	0.0
165	0.0	0.0	0.0
166	0.0	0.0	0.0
167	0.0	0.0	0.0
