NrCopies	No_delegation	M2MShare	Delegation_to_all
5%	48.0	31.785481481481483	26.402539682539683
10%	26.718879629629626	15.67137037037037	15.256964285714286
15%	20.918666666666667	13.31936111111111	12.151001984126985
20%	16.559851851851853	12.06487037037037	10.314022817460318
25%	15.249453703703704	11.637861111111112	10.084875992063493
30%	14.19111111111111	9.812407407407406	8.794503968253968
35%	13.44212962962963	9.809157407407408	8.753576388888888
40%	12.945305555555555	9.705453703703704	7.381324404761905
