NrCopies	No_delegation	M2MShare
50	48.0	31.785481481481483
100	26.718879629629626	15.67137037037037
150	20.918666666666667	13.31936111111111
200	16.559851851851853	12.06487037037037
250	15.249453703703704	11.637861111111112
300	14.19111111111111	9.812407407407406
350	13.44212962962963	9.809157407407408
400	12.945305555555555	9.705453703703704
