2172.5000	A6	A32	1000001
7009.5000	H883	A17	125001
7009.5000	H894	A17	125001
8480.0000	H883	A17	250001
33104.5000	A124	E428	1375001
33869.0000	A124	A17	0
33870.0000	A124	A17	250001
34147.0000	G702	F539	1999999
34240.5000	G702	A136	375001
34597.0000	G702	F639	1999999
34627.0000	G702	F538	1999999
34647.0000	G702	F562	1999999
35572.5000	H849	F534	875001
35800.5000	F578	A136	375001
37067.0000	F545	F573	1999999
37322.5000	G694	F534	875001
37322.5000	G702	F534	875001
40347.0000	H1003	E507	1999999
40501.0000	H1003	A102	500001
40825.0000	G764	A102	1499998
41680.0000	F545	F534	249997
41859.5000	F647	A136	125001
42981.0000	F595	A136	500001
43562.0000	F647	A136	749998
43563.0000	F647	A136	250000
52607.0000	F531	E466	1999999
87381.5000	A129	E428	624998
88686.5000	G697	A32	1968751
88687.0000	G697	A32	31248
88710.5000	H837	H828	375001
88840.0000	H950	H828	250001
88867.0000	A46	A140	1999999
90030.0000	D398	H828	249994
90035.0000	D398	H828	1250000
90684.0000	A32	A17	1249995

