34321.0000	F550	F570	3000000
91431.0000	A70	A105	3000000
93472.0000	A70	A32	750001
93478.0000	A70	A32	1500001
93551.0000	A70	A32	562500
93552.0000	A70	A129	749998
93552.0000	A70	A32	187498
93554.0000	A32	A31	250001
93556.0000	A32	A70	749998
95620.5000	A70	A31	375001
96119.5000	A70	A31	124996
113710.5000	A58	A42	375001
117155.5000	F557	A42	1500001
118322.0000	F624	A42	750000
118323.5000	F624	A42	374998

