4040.5000	H933	H1013	2875001
5661.0000	G759	H1014	3000000
6609.0000	G759	A108	2500001
7208.5000	H820	H966	2375001
7251.5000	H820	H966	624999
7421.0000	A123	A108	499999
8508.5000	H933	E490	2375001
8971.5000	H933	E490	624999
16071.0000	E468	A69	3000000
33850.0000	A123	A128	250001
36813.5000	H933	A18	1125001
36849.5000	H933	H1013	124999
37989.0000	H822	H841	2500001
38341.0000	A33	A143	3000000
38995.5000	A123	A18	1500001
38997.0000	A123	A18	374998
40061.0000	G759	A139	3000000
42591.0000	F643	F531	3000000
42970.0000	F551	K1025	250001
44801.0000	F516	G781	500001
44960.5000	A94	K1025	375001
45755.5000	A94	G781	1500001
45759.5000	A94	G781	999998
47651.0000	F549	K1024	3000000
54470.0000	G811	G747	250001
76790.0000	G790	G751	2750001
87111.0000	F551	A46	3000000
87341.5000	H966	A32	875001
88019.5000	F604	K1025	125001
88329.5000	E490	A32	375001
88643.0000	A24	A138	1000001
88771.0000	A94	A87	3000000
89495.5000	A24	A138	1500001
89497.5000	A24	A138	499998
90375.5000	H933	A32	1640626
90376.0000	H933	A32	109372

