# time  from  to  bytesTrasferred
33499.0000 A2 A112 2500001
43241.0000 G688 A112 499999
87301.0000 A140 A33 3000000
87371.0000 H911 H969 3000000
88021.0000 A44 G680 3000000
91725.5000 F636 H830 1625001
94467.0000 E508 A35 2000001
101943.0000 H901 A35 999999
110271.0000 G736 F521 3000000
113051.0000 A68 A115 3000000
115080.0000 G736 A55 250001
116075.5000 A68 A55 1500001
116080.5000 A68 A55 1249998
116460.0000 A33 A32 3000000

Total data trasferred (bytes): 28625001
