# time  from  to  bytesTrasferred
32324.5000 A149 H983 1375001
32351.0000 A149 A127 500001
34805.5000 A64 A127 1500001
34809.5000 A64 A127 999998
37973.5000 A64 A100 1125001
38163.0000 F652 A148 1000001
38515.5000 H937 A100 1500001
38517.0000 H937 A100 374998
38939.0000 F626 H882 2500001
39121.0000 F626 H882 499999
40296.5000 G722 A54 1875001
43285.5000 G808 F638 1625001
43321.0000 F626 E419 3000000
44551.0000 F652 H902 3000000
46459.5000 A73 E434 2625001
47825.5000 C304 H983 1500001
47826.0000 C304 H983 124998
50000.5000 G722 A32 3000000

Total data trasferred (bytes): 28125004
