# time  from  to  bytesTrasferred
5400.0000 F567 A32 2875001
6459.5000 H845 H863 124999
8269.5000 E504 G672 124999
8889.5000 A147 G730 124999
9359.5000 A36 H896 124999
9359.5000 A36 H973 124999
9369.5000 A36 H911 124999
9749.5000 F567 E423 124999
9939.5000 A147 G746 124999
10779.5000 A36 G801 124999
12601.0000 G758 G664 3000000
33499.5000 G701 G685 124999
34839.0000 F567 A32 124999

Total data trasferred (bytes): 7249990
