38249.5000	A74	E472	125001
39647.5000	A74	A151	2125001
40080.0000	H990	A45	250001
40641.0000	H990	F639	3000000
40641.0000	H990	F603	3000000
43359.5000	D336	H1002	125001
46121.0000	H918	G737	3000000
46164.5000	F623	A76	1375001
46255.5000	H918	A76	1500001
46256.0000	H918	A76	124998
47325.5000	H918	E472	1500001
47330.5000	H918	E472	1250001
50034.0000	H990	G720	1250001
50337.5000	A76	A32	2375001
65420.0000	H880	A124	250001
78465.0000	G790	A105	1500001
78808.5000	G790	A33	2375001
84459.5000	A13	G684	125001
85271.5000	A53	A33	624999
89129.5000	H950	G667	125001
89155.5000	G758	G667	1500001
89161.0000	G758	G667	1374998
90115.0000	H879	A105	1499999
90545.5000	G758	G716	1625001
92551.5000	F565	E483	624999
92981.0000	A143	A47	3000000
93822.5000	H980	A151	874999
94682.0000	H980	G768	750001
94845.5000	H980	G768	1500001
94848.5000	H980	G768	749998
95311.5000	A67	A69	624999
95801.5000	A67	A54	624999
96107.0000	C230	F599	2000001
96310.5000	A143	K1022	375001
97130.0000	A143	K1022	249998
97749.5000	C230	H1002	125001
100350.5000	A151	A32	624999
100381.5000	A32	A17	624999
100501.5000	A32	A115	624999
109373.0000	G790	F599	999999
112531.5000	G813	G743	624999
113440.5000	F593	G675	375001
113460.5000	F593	G684	375001
113781.5000	A132	A136	624999
114039.5000	G787	G684	124997
114231.5000	H983	H998	624999
114871.5000	A13	A113	624999
115150.0000	A102	G675	249998
115611.5000	A143	A108	624999
119081.5000	H1013	H938	624999
120641.5000	H1013	H988	624999
121964.0000	F582	G724	1250001
122180.5000	A102	A5	375001
122625.5000	A32	G720	1500001
122625.5000	A32	G724	1500001
122626.5000	A32	G720	249998
122626.5000	A32	G724	249998
122631.0000	A32	G757	3000000
123161.5000	F582	F620	624999
123735.5000	A32	A5	1500001
123740.0000	A32	A5	1124998
124272.5000	H1011	A45	875001
128195.0000	H990	A45	1500000
128199.5000	H990	A45	1124998
132820.0000	H980	G716	250001
133153.5000	H918	G716	1124998
173974.5000	A67	A131	1375001
180285.5000	A32	A131	1500001
180286.0000	A32	A131	124998
197061.5000	G790	G749	624999
197271.5000	F564	H875	624999

